"Planet_Name","Orbit_Period","Planet_Radius","Planet_Mass","Stellar_Flux","Temperature","Star_Temperature","Star_Mass","Planet_Density","Escape_Velocity","Gravity","ESI_Standard","ESI_Weighted","ESI_Custom","ESI_Revised"
"Earth",365,1,1,1,288,5778,1,5.50937386363636,11.1874746650365,9.82,1,0.999963956442029,0.999981059529898,0.999968306531563
"Mars",687,0.532,0.107,0.431,210,5778,1,3.91517451619908,5.01727767896089,3.71254734580813,0.645440585139003,0.690071583990371,0.626919464706818,0.518083978438809
"Venus",225,0.949,0.815,1.92,737,5778,1,5.25365095924679,10.3675887793326,8.88662126735369,0.776445888935528,0.51585072592481,0.799558417266413,0.481454251172311
"Jupiter",4333,10.973,318,0.00599,165,5778,1,1.32602962494062,60.2258495943756,25.9350953716216,0.0861776270886691,0.290899636282058,0.331462591689697,0.104059530403554
"Kepler-1638 b",259.3,1.87,4.16,1.39,312,5710,0.97,3.50486064933712,16.6862185253603,11.682118447768,0.756567204358896,0.816626321540038,0.745908488306578,0.78075776236624
"Kepler-440 b",101,1.91,4.13,1.44,308,3813,0.57,3.2655188445392,16.4509282053701,11.1171842877114,0.744746526165597,0.805093962833715,0.664855925456211,0.686329520180246
"GJ 433 d",36.1,2.14,5.22,1.06,292,3600,0.467,2.93448184759452,17.4727164695746,11.193204646694,0.742454899640128,0.795322967833581,0.585185724492636,0.618556544655737
"Kepler-1653 b",140.3,2.17,5.34,1.04,291,4771,0.719,2.87915005459494,17.5498264632754,11.1361039733271,0.73864934206015,0.791316964047217,0.676631662480644,0.721000792688132
"GJ 832 c",35.7,2.19,5.4,0.99,286,3657,0.437,2.83245917974606,17.5673756191561,11.0564833927566,0.73619642269081,0.788285909538876,0.578655505740165,0.611475153048758
"Kepler-705 b",56.1,2.11,5.09,0.77,269,3593,0.548,2.98519469281913,17.3759968168278,11.2270164641405,0.731418230025497,0.788633153934598,0.610270843056984,0.638607387768214
"Kepler-296 e",63.3,1.8,3.91,0.44,229,3572,0.454,3.69369886948186,16.4886155082,11.8506790123457,0.658776304338005,0.740074811318557,0.614463289970594,0.580721574830953
"Trappist-1 e",6.1,0.92,0.69,0.65,258,2566,0.0898,4.8818884661239,9.6886372641164,8.00543478260869,0.847141372924386,0.8813900821414,0.543140449603036,0.525755765144081
"Kepler-442 b",112.3,1.35,2.36,0.7,263,4563,0.72,5.28460999570465,14.791805312371,12.716159122085,0.836715200784401,0.882334667435157,0.751275625281509,0.748975221896318
"K2-72 e",24.2,1.29,2.21,1.3,307,3498,0.309,5.67185849400466,14.6431107311593,13.0414037617932,0.871449809907793,0.905545004142912,0.619641885596845,0.619427736757644
"GJ 1061 d",13,1.15,1.64,0.69,247,3119,0.12,5.94090450323902,13.359957256654,12.1775425330813,0.861229006630686,0.876550294660135,0.566680579936158,0.550717630668789
"GJ 1061 c",6.7,1.18,1.74,1.45,311,3119,0.12,5.83452453922217,13.5851890164405,12.2714737144499,0.857603456322856,0.896761469699577,0.557285469264739,0.548007276983115
"GJ 180 c",24.3,2.41,6.4,0.78,270,3562,0.41,2.51901695502173,18.2311275924859,10.8207503314337,0.694836428415418,0.752140008210759,0.545612932659568,0.570417960819799
"GJ 163 c",25.6,2.5,6.8,1.25,304,3529,0.42,2.39767950545455,18.4508558911468,10.68416,0.686935191693397,0.743513117879623,0.542154263307982,0.567316408950799
"Kepler-1540 b",125.4,2.49,6.77,0.78,270,4366,0.676,2.41597742443578,18.4470415354043,10.7226335059112,0.685716232880362,0.743072846699271,0.63487946038377,0.665770467255543
"Kepler-174 d",247.4,2.19,5.43,0.59,252,4724,0.76,2.84819506407798,17.6161062970097,11.1179083004942,0.679335045699511,0.749391689103632,0.691677179944226,0.70151746996994
"Kepler-452 b",384.8,1.63,3.31,1.11,295,5578,1.02,4.21082725188896,15.9423470659018,12.2338815913282,0.826652061828762,0.876016462034492,0.794939859709423,0.847828573246218
"Kepler-62 e",122.3,1.61,4.595,1.15,298,4925,0.72,6.06610791447043,18.9000035033177,17.4078546352378,0.827531326503982,0.868763424872363,0.695676681821437,0.703984134463663
"Kepler-1652 b",38.1,1.6,3.18,0.84,276,3757,0.404,4.27729709139737,15.7719587843237,12.19828125,0.825621282057141,0.875361668344756,0.628279594913885,0.650974941347766
"Trappist-1 d",4,0.78,0.39,1.12,303,2566,0.0898,4.52775629818899,7.9107392,6.29487179487179,0.90387550730169,0.903727122811653,0.520186251100688,0.514516138694448
"Proxima Centauri b",11.2,1.08,1.27,0.7,257,3175,0.13,5.55436862300128,12.1317107627558,10.6922153635117,0.872287121923944,0.898799855844095,0.576577218875259,0.564372176813358
"GJ 667 C f",39,1.45,2.54,0.56,249,3650,0.33,4.59020365365907,14.8069265484753,11.8634007134364,0.761999087119706,0.826407485679901,0.622752228084778,0.607187676386303
"Kepler-62 f",267.3,1.41,4.46,0.41,230,4925,0.72,8.76556198452359,19.8971071107042,22.029676575625,0.680598892194808,0.727173060948701,0.688401785701284,0.56664677965404
"Trappist-1 f",9.2,1.04,1.04,0.37,225,2566,0.0898,5.09372583546261,11.1874746650365,9.44230769230769,0.674538648796136,0.756078287919618,0.531069953277295,0.463291165329679
"GJ 3293 d",48.1,2.67,7.6,0.59,251,3466,0.43,2.19979419970483,18.8748378894676,10.4689363015332,0.63016570058376,0.698718338365497,0.545086146188815,0.54915042088962
"LHS 1140 b",24.7,1.64,6.38,0.36,222,3216,0.179,7.96877159401707,22.0658407820903,23.2940214158239,0.625685426070397,0.697032083765756,0.488375055967741,0.400571869151255
"GJ 229 A c",122,2.6,7.27,0.53,244,3710,0.51,2.27885457377312,18.7073639840105,10.5608579881657,0.617968404965734,0.692239644130437,0.598787272148832,0.592866618189021
"GJ 357 d",55.7,2.34,6.1,0.38,226,3615,0.346,2.62291675393664,18.062965549829,10.9398056833954,0.574084592156908,0.668845413908026,0.546386423568958,0.5065886067321
"GJ 682 b",17.5,1.94,4.4,0.31,215,3237,0.29,3.32008904065312,16.8483562977494,11.4804973961101,0.564306696459094,0.669062544677536,0.520129993234367,0.456656227058889
"GJ 180 d",106.3,2.66,7.56,0.26,205,3562,0.42,2.21298836205346,18.8604540696651,10.4922833399288,0.475294133899128,0.585026853484184,0.54368062068,0.454485123934131
"Wolf 1061 c",17.9,1.66,3.18,1.3,306,3393,0.301,3.83005579139689,15.4843001372873,11.3324139933227,0.801786836764834,0.851658458441411,0.582733694685871,0.599089629246641
"Kepler-1410 b",60.9,1.66,3.81,1.07,293,4031,0.594,4.58884042931514,16.9488606352142,13.5775148787923,0.822930473749501,0.877591438673536,0.659314922627525,0.690877679199443
"GJ 667 C c",28.1,1.77,3.81,0.88,278,3650,0.33,3.78536202544682,16.4137539738682,11.9423537297711,0.798324271556755,0.850461356041336,0.590921302310762,0.618565070387667
"Kepler-1544 b",168.8,1.78,3.81,0.84,276,4820,0.743,3.72192153492823,16.3675829851517,11.8085469006439,0.792293391923805,0.845174835632884,0.733541769768886,0.77581914246541
"Kepler-283 c",92.7,1.82,3.97,0.84,280,4351,0.69,3.62809447262374,16.5231035360367,11.7695326651371,0.785390438745418,0.839866588901172,0.682470423643045,0.718963253702987
"Kepler-22 b",289.9,2.38,6.9,1.1,294,5594,0.96,2.81981401006455,19.0488223541217,11.9620789492268,0.709342626380132,0.773362827587235,0.691845161482225,0.749054623501239
"Kepler-1701 b",169.1,2.22,5.56,1.42,314,5146,0.87,2.79974264639166,17.7048794230921,11.0784838892947,0.705320128026716,0.766841069093963,0.681767632456145,0.710867966351989
"K2-18 b",32.9,2.37,8.92,1.26,303,3503,0.413,3.6916631013741,21.7040268996607,15.5947942815432,0.701252323740155,0.788150276244155,0.548272133164453,0.584373255259196
"Kepler-1606 b",196.4,2.07,4.93,1.64,325,5402,0.921,3.06223225946088,17.2651498361158,11.2984200331396,0.699795400395866,0.768680999129796,0.701381967490452,0.715534052955236
"K2-9 b",18.4,2.25,5.69,1.45,316,3528,0.302,2.75211740216985,17.790859870256,11.0371950617284,0.698615745733312,0.760986915104211,0.534142128256862,0.552219474037609
"K2-332 b",17.7,2.2,5.47,1.17,299,3296,0.265,2.83022868464415,17.6406420455353,11.0982231404959,0.729110433527691,0.783753180088785,0.532456998954271,0.560082972438765
"Kepler-155 c",52.7,2.24,5.66,1.05,291,4339,0.58,2.77443542197374,17.7834603621836,11.0772480867347,0.72882988876654,0.78218958463017,0.605703852427384,0.641611310712396
"TOI-2257 b",35.2,2.2,5.43,0.74,254,3446,0.328,2.8095323140069,17.5760240919519,11.0170661157025,0.714559186080968,0.766877792478996,0.559128227116574,0.578632080444433
"Kepler-443 b",177.7,2.35,6.04,0.89,279,4781,0.75,2.56410376401095,17.9356286315426,10.7402082390222,0.712090002303026,0.764457121693773,0.673040619337969,0.713398075204081
"Ross 128 b",9.9,1.11,1.4,1.48,317,3192,0.179,5.63976935963788,12.5641928336607,11.1581852122393,0.858262925271301,0.89575688412755,0.586392452888716,0.573622683501741
"GJ 273 b",18.6,1.51,2.89,1.06,292,3322,0.294,4.62454750762038,15.4772042008424,12.4467347923337,0.854856286244394,0.899058984020364,0.593694337729907,0.613074081441516
"Teegarden's Star b",4.9,1.02,1.05,1.15,298,2637,0.093,5.451186343128,11.3508041025465,9.91061130334487,0.950172670407225,0.96362265329764,0.555084011733184,0.553449859293152
"TOI-700 d",37.4,1.14,1.57,0.87,278,3480,0.416,5.83831257519797,13.128934007846,11.863188673438,0.932499252881442,0.946372890343947,0.672921093633443,0.671694828730612
"Kepler-1649 c",19.5,1.06,1.2,1.23,303,3269,0.198,5.55093184001192,11.9033651202443,10.4877180491278,0.924217441273533,0.944491282252706,0.612129685977269,0.608327387409828
"HD 40307 g",197.8,2.57,7.09,0.67,256,4923,0.77,2.30117215141369,18.5818359146033,10.5412345379945,0.659081751344099,0.719866447924111,0.652928007882218,0.670835353349265
"Kepler-296 f",63.3,1.8,3.91,0.44,229,3572,0.454,3.69369886948186,16.4886155082,11.8506790123457,0.658776304338005,0.740074811318557,0.614463289970594,0.580721574830953
"HIP 38594 b",60.7,2.77,8.1,1.34,308,3969,0.62,2.09965507539026,19.1308686423943,10.3666149695682,0.652481399371039,0.711549459264353,0.571381107062973,0.592683741325609
"K2-288 B b",31.4,1.91,4.26,0.44,234,3341,0.33,3.36830757330193,16.7078351178672,11.4671198706176,0.647136641583867,0.733022356378576,0.560118485197187,0.5339826097065
"HD 216520 c",154.4,3.04,9.44,1.28,305,5140,0.79,1.85120062346544,19.7142958728313,10.0308171745152,0.632538052304216,0.689302544595735,0.612245994891698,0.633810356324284
"Teegarden's Star c",11.4,1.04,1.11,0.37,225,2637,0.093,5.43657276669568,11.5578454961223,10.0778476331361,0.674538648796136,0.756658577672745,0.53568210464882,0.467876679530523
"Kepler-1229 b",86.8,1.4,2.54,0.32,217,3731,0.48,5.09978484461967,15.0690163919053,12.7259183673469,0.617143067621416,0.714194690490223,0.65532131281614,0.55978832810039
"Kepler-186 f",129.9,1.17,1.71,0.29,212,3876,0.52,5.88221331046775,13.5249973645265,12.266929651545,0.606894529885672,0.702423488791516,0.70591840546126,0.570979555937831
"GJ 667 C e",39,1.45,2.54,0.56,249,3650,0.33,4.59020365365907,14.8069265484753,11.8634007134364,0.761999087119706,0.826407485679901,0.622752228084778,0.607187676386303
"Trappist-1 g",12.4,1.13,1.32,0.25,204,2566,0.0898,5.04011963431901,12.0914896563072,10.1514605685645,0.573546596642902,0.675051341097203,0.513197169038843,0.404477339806448
"CoRoTID 223977153 b",6.71837,6.389,47.6745,132.26,938,5970,1.08,1.00713972641304,30.5603760672409,11.4691665253325,0.133360754492954,0.162927581491817,0.32366475163293,0.00771756874746055
"EPIC 220674823 b",0.571336,1.82,9,4293,2063,5496,0.92,8.22489930821503,24.878123851865,26.6815601980437,0.263921955408875,0.0650464010393723,0.372640085014809,-0.131526216533132
